"TotalAlunos","Aprovados","Reprovados","nomeEscola","codEscola","EEX","adimplenciaUEX","bairro","valorTotalPrevisto","cescolrpae","modens","compens","anoCenso"
"815","591","157","ESCOLA MUNICIPAL ANTONIO FARIAS FILHO","26117576","PREF MUN DE RECIFE","Bloqueio CODDE","SAN MARTIN","18440","5","1","1","2018"
"706","648","20","ESCOLA MUNICIPAL DOS COELHOS","26118670","PREF MUN DE RECIFE","Bloqueio CODDE","COELHOS","15020","1","0","4","2018"
"443","338","74","ESCOLA MUNICIPAL MONTEIRO LOBATO","26118734","PREF MUN DE RECIFE","Adimplente","PEIXINHOS","9320","2","0","4","2018"
"201","183","5","ESCOLA MUNICIPAL JULIO VICENTE ALVES DE ARAUJO","26118955","PREF MUN DE RECIFE","Bloqueio CODDE","MORRO DA CONCEICAO","6640","3","0","4","2018"
"249","199","34","ESCOLA MUNICIPAL DE DOIS RIOS","26119129","PREF MUN DE RECIFE","Adimplente","COHAB","7060","6","0","4","2018"
"328","298","16","ESCOLA MUNICIPAL DOS REMEDIOS","26119145","PREF MUN DE RECIFE","Adimplente","PRADO","7760","5","0","4","2018"
"440","350","33","ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES","26119170","PREF MUN DE RECIFE","Bloqueio CODDE","VARZEA","10440","4","0","4","2018"
"303","258","14","ESCOLA MUNICIPAL TRES CARNEIROS","26119196","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","7520","6","0","4","2018"
"467","412","31","ESCOLA MUNICIPAL ZUMBI DOS PALMARES","26119200","PREF MUN DE RECIFE","Adimplente","IPUTINGA","12520","4","0","4","2018"
"504","435","32","ESCOLA MUNICIPAL DA IPUTINGA","26119218","PREF MUN DE RECIFE","Adimplente","IPUTINGA","15700","4","1","0","2018"
"580","476","82","ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA","26119331","PREF MUN DE RECIFE","Adimplente","MUSTARDINHA","13960","5","1","0","2018"
"433","380","20","ESCOLA MUNICIPAL GENERAL SAN MARTIN","26119617","PREF MUN DE RECIFE","Adimplente","SAN MARTIN","11300","5","0","4","2018"
"658","587","38","ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO","26119641","PREF MUN DE RECIFE","Adimplente","VARZEA","17620","4","1","4","2018"
"407","334","28","ESCOLA MUNICIPAL JOAO XXIII","26119897","PREF MUN DE RECIFE","Adimplente","IPUTINGA","10400","4","1","1","2018"
"489","353","92","ESCOLA MUNICIPAL LUIZ VAZ DE CAMOES","26119927","PREF MUN DE RECIFE","Adimplente","IPSEP","13060","6","1","3","2018"
"462","387","45","ESCOLA MUNICIPAL NOVO PINA","26119994","PREF MUN DE RECIFE","Adimplente","PINA","11060","6","0","4","2018"
"311","257","22","ESCOLA MUNICIPAL VILA OPERARIA DO RECIFE","26120283","PREF MUN DE RECIFE","Adimplente","IBURA","7180","6","0","5","2018"
"541","456","43","ESCOLA MUNICIPAL PROFESSORA MARIA DA PAZ BRANDAO ALVES","26120569","PREF MUN DE RECIFE","Adimplente","SANCHO","13620","5","0","4","2018"
"220","161","31","ESCOLA MUNICIPAL PROFESSORA SONIA MARIA DE ARAUJO SOUZA","26120585","PREF MUN DE RECIFE","Adimplente","JORDAO","5780","6","0","5","2018"
"505","420","22","ESCOLA MUNICIPAL ENGENHEIRO GUILHERME DINIZ","26120607","PREF MUN DE RECIFE","Adimplente","IBURA","10200","6","0","4","2018"
"371","326","30","ESCOLA MUNICIPAL ALMIRANTE SOARES DUTRA","26120658","PREF MUN DE RECIFE","Bloqueio CODDE","CABANGA","8780","1","0","4","2018"
"534","440","54","ESCOLA MUNICIPAL ENGENHEIRO UMBERTO GONDIM","26120674","PREF MUN DE RECIFE","Bloqueio CODDE","PINA","10840","6","1","0","2018"
"284","250","20","ESCOLA MUNICIPAL BALBINA MENELAU","26120682","PREF MUN DE RECIFE","Adimplente","JARDIM SAO PAULO","7140","5","0","5","2018"
"248","215","14","ESCOLA MUNICIPAL DO JORDAO","26120704","PREF MUN DE RECIFE","Adimplente","JORDAO","6520","6","0","4","2018"
"276","232","7","ESCOLA MUNICIPAL DO LEAO","26120712","PREF MUN DE RECIFE","Adimplente","BOA VIAGEM","5840","6","0","5","2018"
"519","414","32","ESCOLA MUNICIPAL DRAOMIRO CHAVES AGUIAR","26120720","PREF MUN DE RECIFE","Bloqueio CODDE","CASA AMARELA","12880","3","0","4","2018"
"540","421","64","ESCOLA MUNICIPAL MAGALHAES BASTOS","26120763","PREF MUN DE RECIFE","Adimplente","VARZEA","12480","4","0","5","2018"
"335","320","4","ESCOLA MUNICIPAL PROFESSOR MOACYR DE ALBUQUERQUE","26120771","PREF MUN DE RECIFE","Adimplente","NOVA DESCOBERTA","9180","3","1","0","2018"
"461","379","43","ESCOLA MUNICIPAL PADRE JOSE MATHIAS DELGADO","26120780","PREF MUN DE RECIFE","Bloqueio CODDE","JARDIM SAO PAULO","12120","5","0","4","2018"
"571","385","44","ESCOLA MUNICIPAL HUGO GERDAU","26120810","PREF MUN DE RECIFE","Adimplente","SAN MARTIN","11280","5","1","3","2018"
"247","209","32","ESCOLA MUNICIPAL PROF ELIZABETH SALES COUTINHO BARROS","26121050","PREF MUN DE RECIFE","Adimplente","TORROES","6540","4","1","0","2018"
"655","602","29","ESCOLA MUNICIPAL SANTA MARIA","26121077","PREF MUN DE RECIFE","Bloqueio CODDE","ALTO JOSE DO PINHO","15160","3","0","4","2018"
"679","554","65","ESCOLA MUNICIPAL VILA SESAMO","26121158","PREF MUN DE RECIFE","Adimplente","COHAB","14860","6","1","0","2018"
"676","621","26","ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO","26121255","PREF MUN DE RECIFE","Bloqueio CODDE","ILHA JOANA BEZERRA","17200","1","1","3","2018"
"503","384","58","ESCOLA MUNICIPAL PEDRO AUGUSTO","26121468","PREF MUN DE RECIFE","Adimplente","BOA VISTA","9540","1","1","5","2018"
"401","273","93","ESCOLA MUNICIPAL PADRE ANTONIO HENRIQUE","26121662","PREF MUN DE RECIFE","Bloqueio CODDE","DERBY","12840","3","1","3","2018"
"405","354","10","ESCOLA MUNICIPAL REITOR JOAO ALFREDO","26121786","PREF MUN DE RECIFE","Adimplente","ILHA DO LEITE","10840","1","1","4","2018"
"371","326","30","ESCOLA TECNICA ESTADUAL ALMIRANTE SOARES DUTRA","26121816","SECRETARIA DE EDUCACAO E ESPORTES","Adimplente","CABANGA","9000","1","0","4","2018"
"304","270","27","ESCOLA MUNICIPAL LUTADORES DO BEM","26121913","PREF MUN DE RECIFE","Adimplente","SANTO AMARO","8980","1","1","0","2018"
"198","29","157","ESCOLA MUNICIPAL CIDADAO HERBERT DE SOUZA","26121972","PREF MUN DE RECIFE","Bloqueio CODDE","SANTO AMARO","4960","1","0","4","2018"
"312","278","2","ESCOLA MUNICIPAL GENERAL EMIDIO DANTAS BARRETO","26121980","PREF MUN DE RECIFE","Adimplente","SANTO AMARO","8640","1","0","4","2018"
"441","367","47","ESCOLA MUNICIPAL SEDE DA SABEDORIA","26122014","PREF MUN DE RECIFE","Adimplente","SANTO AMARO","12760","1","0","4","2018"
"126","117","1","CMEI ANA ROSA FALCAO DE CARVALHO","26122022","PREF MUN DE RECIFE","Adimplente","SANTO AMARO","3840","1","0","3","2018"
"229","209","7","ESCOLA MUNICIPAL SEVERINA LIRA","26122308","PREF MUN DE RECIFE","Adimplente","TAMARINEIRA","7240","3","0","4","2018"
"113","101","4","ESCOLA MUNICIPAL SERVICO SOCIAL DE BELEM","26122464","PREF MUN DE RECIFE","Adimplente","ENCRUZILHADA","3280","2","1","0","2018"
"810","231","476","ESCOLA MUNICIPAL MARIO MELO","26122529","PREF MUN DE RECIFE","Adimplente","CAMPO GRANDE","18900","2","1","0","2018"
"331","294","4","ESCOLA MUNICIPAL DOM HELDER CAMARA","26122570","PREF MUN DE RECIFE","Adimplente","ESPINHEIRO","8700","3","0","4","2018"
"407","370","31","ESCOLA MUNICIPAL SANTA CECILIA","26122600","PREF MUN DE RECIFE","Adimplente","CAMPO GRANDE","10000","2","1","0","2018"
"168","135","21","ESCOLA MUNICIPAL POETA JONATAS BRAGA","26122634","PREF MUN DE RECIFE","Adimplente","CAMPO GRANDE","4980","2","1","5","2018"
"567","137","411","ESCOLA MUNICIPAL DO COQUE","26122898","PREF MUN DE RECIFE","Adimplente","ILHA JOANA BEZERRA","12560","1","1","0","2018"
"398","314","57","ESCOLA MUNICIPAL EDITE BRAGA","26123088","PREF MUN DE RECIFE","Adimplente","AFOGADOS","10360","5","0","4","2018"
"164","140","9","ESCOLA MUNICIPAL SANTA EDWIGES","26123100","PREF MUN DE RECIFE","Adimplente","AFOGADOS","4380","5","1","0","2018"
"392","359","13","ESCOLA MUNICIPAL VILA SAO MIGUEL","26123126","PREF MUN DE RECIFE","Adimplente","AFOGADOS","9120","5","0","5","2018"
"253","222","26","ESCOLA MUNICIPAL PAROQUIAL CRISTO REI","26123266","PREF MUN DE RECIFE","Adimplente","TORRE","6120","4","1","0","2018"
"107","97","3","ESCOLA MUNICIPAL SOLDADO JOSE ANTONIO DO NASCIMENTO","26123304","PREF MUN DE RECIFE","Adimplente","MADALENA","3460","4","1","1","2018"
"491","411","42","ESCOLA MUNICIPAL CASA DOS FERROVIARIOS","26123444","PREF MUN DE RECIFE","Adimplente","COQUEIRAL","12780","5","0","4","2018"
"437","371","19","ESCOLA MUNICIPAL DOM BOSCO","26123487","PREF MUN DE RECIFE","Adimplente","JARDIM SAO PAULO","8100","5","1","5","2018"
"200","164","20","ESCOLA MUNICIPAL DOUTOR ANTONIO CORREIA","26123495","PREF MUN DE RECIFE","Adimplente","BARRO","5120","5","0","5","2018"
"625","494","76","ESCOLA MUNICIPAL ANDRE DE MELO","26123541","PREF MUN DE RECIFE","Adimplente","ESTANCIA","15180","5","1","0","2018"
"481","362","70","ESCOLA MUNICIPAL DE TEJIPIO","26123550","PREF MUN DE RECIFE","Bloqueio CODDE","COQUEIRAL","13000","5","1","0","2018"
"219","191","18","ESCOLA MUNICIPAL PROFESSORA PRIMITIVA DE BARROS SILVA","26123649","PREF MUN DE RECIFE","Adimplente","JARDIM SAO PAULO","5800","5","0","5","2018"
